Vil_Code,Scientific_Name_Cleaned,Scientific_Genus_GB,sell,use,food,medicine,Qty_p_HH,Qty,Forest,Riparian,bamboo,bush_fallow,upland_field,others,PCODE,Pname,DCODE,Dname,KCODE,Kname,Vil_Name
207001,Piper sarmentosum,Vines,1,0,1,0,8,480,0,1,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Phou thong
207001,Dendrobium capillipes,Orchids,1,0,0,1,5,50,1,0,0,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Phou thong
207001,Castanopsis sp.,Trees,1,0,1,0,20,1000,1,1,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Phou thong
207001,Piper sarmentosum,Vines,1,0,1,0,1,50,0,1,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Phou thong
207001,Termitomyces indicus,Mushroom/Funghi,1,0,1,0,1,10,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Phou thong
207001,Thysanolaena latifolia,Grass,1,1,0,0,40,1200,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Phou thong
207001,NA,,1,0,0,0,10,30,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Phou thong
207001,Radermachera ignea,Trees,1,0,1,0,5,50,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Phou thong
207001,Tinospora sinensis,Vines,1,0,0,0,3,9,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Phou thong
207001,Russula densifolia,Mushroom/Funghi,1,0,1,0,5,50,1,1,1,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Phou thong
207001,Protium serratum,Trees,1,0,1,0,10,500,0,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Phou thong
207001,Diplazium esculentum,Fern,1,0,1,0,10,500,1,1,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Phou thong
207001,Diplazium esculentum,Fern,1,0,1,0,2,40,1,1,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Phou thong
207001,Bischofia javanica,Trees,1,0,1,0,50,5000,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Phou thong
207001,Dendrocalamus hamiltonii,Bamboo,1,1,1,0,20,1000,1,0,1,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Phou thong
207001,Sinarundinaria microphylla,Bamboo,1,1,1,0,5,500,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Phou thong
207001,Alpinia galanga,Legume,0,0,1,0,5,100,1,1,1,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Phou thong
207001,Indosasa sinica,Bamboo,1,1,1,0,20,1000,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Phou thong
207001,Asparagus acerosus,Shrubs,1,0,1,0,10,200,1,1,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Phou thong
207001,Calamus sp.,Peas,1,1,1,0,5,100,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Phou thong
207001,Amomum villosum,Cardamom,1,0,0,1,50,10000,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Phou thong
207001,Alpinia galanga,Legume,1,0,1,0,20,200,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Phou thong
207001,Phyllanthus emblica,Tree/Shrub,1,0,1,0,30,1500,1,0,0,1,0,0,2,Phongsali,207,BounTai,20701,Bountai,Phou thong
207002,Tinospora sinensis,Vines,1,0,0,1,3,9,1,0,0,1,1,0,2,Phongsali,207,BounTai,20701,Bountai,Boun tay
207002,Amorphophallus paeoniifolius,Herbs,1,0,1,0,20,200,1,0,1,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Boun tay
207002,Diplazium esculentum,Fern,1,0,1,0,10,500,1,1,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Boun tay
207002,Alpinia galanga,Legume,1,0,1,0,50,5000,0,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Boun tay
207002,Castanopsis sp.,Trees,0,0,1,0,20,1000,1,1,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Boun tay
207002,Radermachera ignea,Trees,1,0,1,0,5,50,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Boun tay
207002,Sinarundinaria microphylla,Bamboo,1,0,1,0,5,500,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Boun tay
207002,Centella asiatica,Herbs,1,0,1,1,0.5,50,1,1,0,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Boun tay
207002,Anoectochilus lylei,Orchids,1,0,0,1,2,40,1,0,0,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Boun tay
207002,Thysanolaena latifolia,Grass,1,1,0,0,50,5500,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Boun tay
207002,Piper sarmentosum,Vines,1,0,1,0,8,480,0,1,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Boun tay
207002,Russula rosacea,Mushroom/Funghi,1,0,1,0,5,50,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Boun tay
207002,Dendrocalamus hamiltonii,Bamboo,1,1,1,0,20,1000,1,0,1,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Boun tay
207002,Indosasa sinica,Bamboo,1,0,1,0,20,1000,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Boun tay
207002,Alpinia galanga,Legume,1,0,0,0,20,200,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Boun tay
207002,Protium serratum,Trees,1,0,1,0,10,500,0,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Boun tay
207002,Phyllanthus emblica,Tree/Shrub,1,0,1,1,30,1500,1,0,0,1,0,0,2,Phongsali,207,BounTai,20701,Bountai,Boun tay
207002,Russula densifolia,Mushroom/Funghi,1,0,1,0,5,50,1,1,1,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Boun tay
207002,Amomum villosum,Cardamom,1,0,0,1,20,4200,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Boun tay
207002,NA,,1,0,0,1,50,5000,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Boun tay
207002,Asparagus acerosus,Shrubs,1,0,1,0,10,200,1,1,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Boun tay
207002,Calamus sp.,Peas,1,1,1,0,50,250,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Boun tay
207002,Dendrobium capillipes,Orchids,1,0,0,1,5,50,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Boun tay
207002,Termitomyces indicus,Mushroom/Funghi,1,0,1,0,5,30,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Boun tay
207003,Calamus sp.,Peas,0,0,1,0,2,4,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Piper sarmentosum,Vines,1,0,1,0,0.5,75,0,1,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Sinarundinaria microphylla,Bamboo,0,0,1,0,20,2000,1,0,0,1,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Dendrocalamus hamiltonii,Bamboo,0,0,1,0,5,15,1,0,1,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Indosasa sinica,Bamboo,0,0,1,0,20,2000,1,0,1,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,NA,,1,0,0,0,10,150,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Markhamia stipulata,Trees,0,0,1,0,5,350,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Calamus sp.,Peas,1,0,1,0,30,4500,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Russula densifolia,Mushroom/Funghi,0,0,1,0,10,100,1,1,1,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Mangifera sp.,Trees,0,0,1,0,3,150,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Centella asiatica,Herbs,1,0,1,0,3,150,1,1,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Dillenia indica,Trees,0,0,1,0,2,120,1,0,1,1,0,1,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Calamus sp.,Peas,0,1,0,0,10,150,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Gmelina arborea,Tree/Shrub,0,0,1,0,0.5,15,1,0,0,1,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
