ID,Scientific_Name_Cleaned,Scientific_Genus,Scientific_Genus_GB,Vil_Code,sell,use,food,medicine,CHECK,Qty_sell,Qty_use,Qty_food,Qty_med,Inc_sell,Inc_use,Inc_food,Inc_medicine,No_HH,Unit,Qty_p_HH,Qty,PPU_LAK,PPU_USD,Income_USD,Time_Travel,Status_en,Status_rel,Status_abs,Reason_en,Forest,Riparian,bamboo,bush_fallow,upland_field,others,CHECK_2,Qty_For,Qty_Rip,Qty_Bam,Qty_Bfa,Qty_UpF,Qty_Oth,Inc_For,Inc_Rip,Inc_Bam,Inc_Bfa,Inc_UpF,Inc_Oth,For_sell_inc,For_use_inc,For_food_inc,For_med_inc,Rip_sell_inc,Rip_use_inc,Rip_food_inc,Rip_med_inc,bam_sell_inc,Bam_use_inc,Bam_food_inc,Bam_med_inc,Bfa_sell_inc,Bfa_use_inc,Bfa_food_inc,Bfa_med_inc,UpF_sell_inc,UpF_use_inc,UpF_food_inc,UpF_med_inc,Oth_sell_inc,Oth_use_inc,Oth_food_inc,Oth_med_inc
72,Worm of spondias cytherea,Worm,Worms,608011,1,0,1,0,2,1065,0,1065,0,6656.25,0,6656.25,0,71,????,30,2130,50000,6.25,13312.5,0,Decrease,70,-70,diseases,0,0,1,0,0,0,1,0,0,2130,0,0,0,0,0,13312.5,0,0,0,0,0,0,0,0,0,0,0,6656.25,0,6656.25,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Worm of spondias cytherea,Worm,Worms,608012,1,0,1,0,2,215,0,215,0,80.625,0,80.625,0,86,????,5,430,3000,0.375,161.25,0,Decrease,50,-50,NA,1,0,0,0,0,0,1,430,0,0,0,0,0,161.3,0,0,0,0,0,80.65,0,80.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Worm of spondias cytherea,Worm,Worms,608012,1,0,1,0,2,129,0,129,0,403.125,0,403.125,0,86,????,3,258,25000,3.125,806.25,0,Stable,0,0,NA,0,0,1,0,0,0,1,0,0,258,0,0,0,0,0,806.3,0,0,0,0,0,0,0,0,0,0,0,403.15,0,403.15,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Worm of spondias cytherea,Worm,Worms,608013,1,0,1,0,2,542.5,0,542.5,0,2712.5,0,2712.5,0,217,????,5,1085,40000,5,5425,30,Stable,0,0,NA,1,0,1,0,0,0,2,542.5,0,542.5,0,0,0,2712.5,0,2712.5,0,0,0,1356.25,0,1356.25,0,0,0,0,0,1356.25,0,1356.25,0,0,0,0,0,0,0,0,0,0,0,0,0
360,Worm of spondias cytherea,Worm,Worms,608038,1,0,0,0,1,405,0,0,0,3037.5,0,0,0,81,????,5,405,60000,7.5,3037.5,0,Decrease,20,-20,NA,1,0,1,0,0,0,2,202.5,0,202.5,0,0,0,1518.8,0,1518.8,0,0,0,1518.8,0,0,0,0,0,0,0,1518.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,Worm of spondias cytherea,Worm,Worms,608045,1,0,1,0,2,222,0,222,0,832.5,0,832.5,0,111,????,4,444,30000,3.75,1665,0,Stable,0,0,NA,0,1,1,0,0,0,2,0,222,222,0,0,0,0,832.5,832.5,0,0,0,0,0,0,0,416.25,0,416.25,0,416.25,0,416.25,0,0,0,0,0,0,0,0,0,0,0,0,0
535,Worm of spondias cytherea,Worm,Worms,608053,1,0,1,0,2,675,0,675,0,2531.25,0,2531.25,0,150,????,9,1350,30000,3.75,5062.5,0,Decrease,10,-10,Clearance,0,1,0,0,0,0,1,0,1350,0,0,0,0,0,5062.5,0,0,0,0,0,0,0,0,2531.25,0,2531.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
574,Worm of spondias cytherea,Worm,Worms,608061,1,0,1,0,2,129,0,129,0,725.625,0,725.625,0,86,????,5,258,45000,5.625,1451.25,0,Stable,0,0,NA,0,0,1,0,0,0,1,0,0,258,0,0,0,0,0,1451.3,0,0,0,0,0,0,0,0,0,0,0,725.65,0,725.65,0,0,0,0,0,0,0,0,0,0,0,0,0
650,Worm of spondias cytherea,Worm,Worms,608064,1,0,1,0,2,435,0,435,0,2175,0,2175,0,87,????,10,870,40000,5,4350,0,Increase,20,20,NA,0,0,1,0,0,0,1,0,0,870,0,0,0,0,0,4350,0,0,0,0,0,0,0,0,0,0,0,2175,0,2175,0,0,0,0,0,0,0,0,0,0,0,0,0
696,Worm of spondias cytherea,Worm,Worms,608075,1,0,1,0,2,195,0,195,0,731.25,0,731.25,0,78,????,5,390,30000,3.75,1462.5,0,Stable,0,0,NA,1,0,0,0,0,0,1,390,0,0,0,0,0,1462.5,0,0,0,0,0,731.25,0,731.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
730,Worm of spondias cytherea,Worm,Worms,608091,0,0,1,0,1,0,0,0,0,0,0,0,0,100,????,0,0,0,0,0,90,Stable,0,0,NA,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,Worm of spondias cytherea,Worm,Worms,608092,1,0,1,0,2,150,0,150,0,729.375,0,729.375,0,77,????,6,300,38900,4.8625,1458.75,0,Decrease,, ,NA,0,0,1,0,0,0,1,0,0,300,0,0,0,0,0,1458.8,0,0,0,0,0,0,0,0,0,0,0,729.4,0,729.4,0,0,0,0,0,0,0,0,0,0,0,0,0
