ID,NTFP_Cleaned,SpecialNTFP,other lao names,Scientific_Name_Cleaned,Hmong,Khamu,Vil_Code,Type_la_030413,Scientific_Name_030413,Cleaned NTFP type polished round 2,Sounthone _chris 30 March,sell,use,food,medicin,No_HH,Unit,Qty_per_HH,Qty_All,Price_per_Unit,Price_All,Location_gathered_la,Time_Travel,Status_la,Status_en,Status_%,Reason_la,Reason_en,Palm,Palm1,Rattan,Rattan1,Trees,Trees1,Herb,Herb1,Shrubs,Shrubs1,Climber_Vine,Climber_Vine1,Monocot,Monocot1,Fungi,Fungi1,Tuber_limber,Tuber_limber1,Insects,Insects1,Orchid,Orchid1,Mushroom,Mushroom1,Fern,Fern1,Check_Type,Forest_Type_la,Forest_Type_CF,Forest_Type2,not a forest type,not spec'd or classed,forest in general,Dense forest,Dense moist  forest,strem source f,cool moist F,Pah Khok,pine,pine mixed,riverine forest,beside stream,stream,mixed forest,chest nut,Bamboo,Pah Khang (mainly grass'd),grassland,bush fallow gen'l,Old bush fallow,Young bush fallow,upland field,paddy,wet land,Banana forest,termite soil,tree stumps,cliff,clifftop,Other specific nisches,Check_Forest,LastUpdated
5725,?????,,,,,,605067,,,,,1,0,0,0,60,,30000,1800000,2500,7500000,"????????????,??????",90,???????,Not change,100,"??????, ?????",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,?????????,,?????????,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
10053,?????????,bamboo,,Indosasa sindica,,,701038,,,,,1,1,1,,73,kg,3000,219000,3000,657000000,??????,10,??????,,0,???????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-Dec-15
9659,?????????,bamboo,,Indosasa sindica,,,605045,,,,,1,,1,,188,kg,1000,188000,3000,564000000,???????????,180,?????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-Dec-15
9657,?????????,bamboo,,Bambusa sp.,,,605045,,,,,1,,1,,188,kg,1000,188000,3000,564000000,???????,120,???????,,50,???????????? ??? ???????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-Dec-15
9576,????,,,,,,605047,,,,,1,,,,246,kg,500,123000,4000,492000000,"????????,????????,??????",20,???????,,15,"???????????,???????????",,,,,,,,,,,,,,,,,,,,,,,,,,,,,?????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-Dec-15
7817,?????????,,,Indosasa sinica C.D.Chu & C.S.Chao,,,1105116,,,,,,,,,60,????,2000,120000,800,96000000,????????????,120,??????,Not change,50,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,??????,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,
7984,?????????,,,,,,907052,,,,,1,,,,60,kg,2000,120000,1200,144000000,????????????,240,????,,90,??????????????,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,?????????,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,3,
538,??????????,duk deua,,Amorphophallus kerrii,??????,?????????,608053,???????,Amorphophallus sp.,???????,???????,1,0,0,1,210,????,500,105000,10000,1050000000,????,,????????,Not change,0,???????????????????,,,,,,,,,,,,,,,,,,1,1050000000,,,,,,,,,1,?????????,?????????,?????????,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
11460,????????,,,,,,605025,,,,,1,,,1,102,Kg,1000,102000,400,40800000,???????,120,??????,,50,?????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
8166,????????,,,Daemonorops jenkinsiana (Griff.) Mart,,,904995,,,,,1,,1,,30,kg,3000,90000,15000,1350000000,??????????,60,????,,20,??????????????,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,????????,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,
