SciName,Taxonomy,Vil_Code,sell,use,food,medicine,CHECK,Qty_sell,Qty_use,Qty_food,Qty_med,Inc_sell,Inc_use,Inc_food,Inc_medicine,No_HH,Qty_p_HH,Qty,PPU_LAK,PPU_USD,Income_USD,Time_Travel,Status_en,Status_rel,Status_abs,Reason_en,Forest,Riparian,bamboo,bush_fallow,upland_field,others,CHECK_2,Qty_For,Qty_Rip,Qty_Bam,Qty_Bfa,Qty_UpF,Qty_Oth,Inc_For,Inc_Rip,Inc_Bam,Inc_Bfa,Inc_UpF,Inc_Oth,For_sell_inc,For_use_inc,For_food_inc,For_med_inc,Rip_sell_inc,Rip_use_inc,Rip_food_inc,Rip_med_inc,bam_sell_inc,Bam_use_inc,Bam_food_inc,Bam_med_inc,Bfa_sell_inc,Bfa_use_inc,Bfa_food_inc,Bfa_med_inc,UpF_sell_inc,UpF_use_inc,UpF_food_inc,UpF_med_inc,Oth_sell_inc,Oth_use_inc,Oth_food_inc,Oth_med_inc
Abelmoschus esculentus,Herb,608035,1,0,1,0,2,50.5,0,50.5,0,6.3125,0,6.3125,0,101,1,101,1000,0.125,12.625,0,Stable,0,0,NA,0,1,0,0,0,0,1,0,101,0,0,0,0,0,12.6,0,0,0,0,0,0,0,0,6.3,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,608011,1,0,1,0,2,75,0,75,0,9.375,0,9.375,0,50,3,150,1000,0.125,18.75,0,Stable,0,0,NA,1,0,0,0,0,0,1,150,0,0,0,0,0,18.8,0,0,0,0,0,9.4,0,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,608012,0,0,1,0,1,0,0,172,0,0,0,0,0,86,2,172,0,0,0,0,Stable,0,0,NA,0,0,0,1,0,0,1,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,608013,0,0,1,0,1,0,0,434,0,0,0,0,0,217,2,434,0,0,0,60,Stable,0,0,NA,0,1,0,0,0,0,1,0,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia concinna,Climber Vine,608035,1,0,1,0,2,50.5,0,50.5,0,6.3125,0,6.3125,0,101,1,101,1000,0.125,12.625,0,Stable,0,0,NA,0,0,0,1,0,0,1,0,0,0,101,0,0,0,0,0,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,6.3,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,608035,1,0,1,0,2,252.5,0,252.5,0,31.5625,0,31.5625,0,101,5,505,1000,0.125,63.125,0,Stable,0,0,NA,1,0,0,0,0,0,1,505,0,0,0,0,0,63.1,0,0,0,0,0,31.55,0,31.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia concinna,Climber Vine,608035,1,0,1,1,3,33.7,0,33.7,33.7,4.2125,0,4.2125,4.2125,101,1,101,1000,0.125,12.625,0,Decrease,5,-5,Clearance,1,0,0,0,0,0,1,101,0,0,0,0,0,12.6,0,0,0,0,0,4.2,0,4.2,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,608037,1,0,1,0,2,480,0,480,0,30,0,30,0,64,15,960,500,0.0625,60,0,Stable,0,0,NA,1,0,0,0,0,0,1,960,0,0,0,0,0,60,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,608038,1,0,1,0,2,190,0,190,0,35.625,0,35.625,0,76,5,380,1500,0.1875,71.25,0,Stable,0,0,NA,1,0,0,0,0,0,1,380,0,0,0,0,0,71.3,0,0,0,0,0,35.65,0,35.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,608039,1,0,1,0,2,90,0,90,0,33.75,0,33.75,0,60,3,180,3000,0.375,67.5,0,Decrease,, ,NA,1,0,0,1,0,1,3,60,0,0,60,0,60,22.5,0,0,22.5,0,22.5,11.25,0,11.25,0,0,0,0,0,0,0,0,0,11.25,0,11.25,0,0,0,0,0,11.25,0,11.25,0
