SciName,Taxon,Vil_Code,sell,use,food,medicine,No_HH,Unit,Qty_p_HH,Qty,Income_USD,Forest,Riparian,bamboo,bush_fallow,upland_field,others
Worm of spondias cytherea,Worms,608011,1,0,1,0,71,????,30,2130,13312.5,0,0,1,0,0,0
Worm of spondias cytherea,Worms,608012,1,0,1,0,86,????,5,430,161.25,1,0,0,0,0,0
Worm of spondias cytherea,Worms,608012,1,0,1,0,86,????,3,258,806.25,0,0,1,0,0,0
Worm of spondias cytherea,Worms,608013,1,0,1,0,217,????,5,1085,5425,1,0,1,0,0,0
Worm of spondias cytherea,Worms,608038,1,0,0,0,81,????,5,405,3037.5,1,0,1,0,0,0
Worm of spondias cytherea,Worms,608045,1,0,1,0,111,????,4,444,1665,0,1,1,0,0,0
Worm of spondias cytherea,Worms,608053,1,0,1,0,150,????,9,1350,5062.5,0,1,0,0,0,0
Worm of spondias cytherea,Worms,608061,1,0,1,0,86,????,5,258,1451.25,0,0,1,0,0,0
Worm of spondias cytherea,Worms,608064,1,0,1,0,87,????,10,870,4350,0,0,1,0,0,0
Worm of spondias cytherea,Worms,608075,1,0,1,0,78,????,5,390,1462.5,1,0,0,0,0,0
Worm of spondias cytherea,Worms,608091,0,0,1,0,100,????,0,0,0,0,0,1,0,0,0
Worm of spondias cytherea,Worms,608092,1,0,1,0,77,????,6,300,1458.75,0,0,1,0,0,0
Worm of spondias cytherea,Worms,608100,1,0,1,0,52,????,5,260,812.5,0,0,1,0,0,0
Worm of spondias cytherea,Worms,608105,1,0,1,0,70,????,5,350,1006.25,1,0,1,0,0,0
Worm of spondias cytherea,Worms,609006,1,0,1,0,96,????,5,480,3000,0,0,1,0,0,0
Worm of spondias cytherea,Worms,609009,1,0,1,0,5,????,1,5,15.625,0,0,1,0,0,0
Worm of spondias cytherea,Worms,609014,1,0,1,0,10,????,2,20,125,0,0,1,0,0,0
Worm of spondias cytherea,Worms,609015,1,0,0,1,20,????,5,100,375,0,0,1,0,0,0
Worm of spondias cytherea,Worms,609019,1,0,1,0,10,????,5,50,375,0,0,1,0,0,0
Worm of spondias cytherea,Worms,609026,1,0,1,0,15,????,4,60,375,0,0,1,0,0,0
Worm of spondias cytherea,Worms,609029,1,0,1,0,10,????,5,50,312.5,0,1,0,0,0,0
Worm of spondias cytherea,Worms,609036,1,0,1,0,30,????,5,150,1312.5,0,0,1,0,0,0
Worm of spondias cytherea,Worms,609044,0,0,1,0,62,????,10,620,0,0,0,1,0,0,0
Worm of spondias cytherea,Worms,609064,1,0,1,0,10,????,5,50,0,1,0,0,0,0,0
Worm of spondias cytherea,Worms,609074,0,0,1,0,10,????,2,20,0,1,0,0,0,0,0
Worm of spondias cytherea,Worms,609078,1,0,1,0,15,????,5,75,468.75,0,0,1,0,0,0
Worm of spondias cytherea,Worms,609080,0,1,1,0,5,????,3,15,56.25,0,0,1,0,0,0
Worm of spondias cytherea,Worms,609094,0,0,1,0,3,????,2,6,0,0,0,1,0,0,0
Worm of spondias cytherea,Worms,609096,0,0,0,0,22,????,5,110,825,0,0,0,1,0,0
Worm of spondias cytherea,Worms,609098,0,0,1,0,3,????,0.5,1.5,0,0,0,1,0,0,0
Worm of spondias cytherea,Worms,906012,1,1,0,0,59,????,5,295,921.875,1,0,1,0,0,0
Worm of spondias cytherea,Worms,611058,1,0,0,0,100,????,10,1000,6250,0,0,1,0,0,0
