"","Vil_Code","PCODE","Pname","DCODE","Dname","KCODE","Kname","Vil_Name","SciName","Taxonomy","sell","use","food","medicine","CHECK","Qty_sell","Qty_use","Qty_food","Qty_med","Inc_sell","Inc_use","Inc_food","Inc_medicine","No_HH","Qty_p_HH","Qty","PPU_LAK","PPU_USD","Income_USD","Time_Travel","Status_en","Status_rel","Status_abs","Reason_en","Forest","Riparian","bamboo","bush_fallow","upland_field","others","CHECK_2","Qty_For","Qty_Rip","Qty_Bam","Qty_Bfa","Qty_UpF","Qty_Oth","Inc_For","Inc_Rip","Inc_Bam","Inc_Bfa","Inc_UpF","Inc_Oth","For_sell_inc","For_use_inc","For_food_inc","For_med_inc","Rip_sell_inc","Rip_use_inc","Rip_food_inc","Rip_med_inc","bam_sell_inc","Bam_use_inc","Bam_food_inc","Bam_med_inc","Bfa_sell_inc","Bfa_use_inc","Bfa_food_inc","Bfa_med_inc","UpF_sell_inc","UpF_use_inc","UpF_food_inc","UpF_med_inc","Oth_sell_inc","Oth_use_inc","Oth_food_inc","Oth_med_inc"
"1",207001,2,"Phongsali",207,"BounTai",20701,"Bountai","Phou thong","Thysanolaena latifolia","Grass",1,1,0,0,2,600,600,0,0,75,75,0,0,30,40,1200,1000,0.125,150,"60",NA,70,70,NA,1,0,0,0,0,0,1,1200,0,0,0,0,0,150,0,0,0,0,0,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",207001,2,"Phongsali",207,"BounTai",20701,"Bountai","Phou thong","Diplazium esculentum","Fern",1,0,1,0,2,20,0,20,0,2.5,0,2.5,0,20,2,40,1000,0.125,5,"10",NA,30,30,NA,1,1,0,0,0,0,2,20,20,0,0,0,0,2.5,2.5,0,0,0,0,1.25,0,1.25,0,1.25,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",207001,2,"Phongsali",207,"BounTai",20701,"Bountai","Phou thong","Diplazium esculentum","Fern",1,0,1,0,2,250,0,250,0,31.25,0,31.25,0,50,10,500,1000,0.125,62.5,"60",NA,20,20,NA,1,1,0,0,0,0,2,250,250,0,0,0,0,31.3,31.3,0,0,0,0,15.65,0,15.65,0,15.65,0,15.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",207001,2,"Phongsali",207,"BounTai",20701,"Bountai","Phou thong","Castanopsis sp.","Tree",1,0,1,0,2,500,0,500,0,312.5,0,312.5,0,50,20,1000,5000,0.625,625,"20",NA,60,60,NA,1,1,0,0,0,0,2,500,500,0,0,0,0,312.5,312.5,0,0,0,0,156.25,0,156.25,0,156.25,0,156.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",207001,2,"Phongsali",207,"BounTai",20701,"Bountai","Phou thong","Radermachera ignea","Tree",1,0,1,0,2,25,0,25,0,3.125,0,3.125,0,10,5,50,1000,0.125,6.25,"30",NA,30,30,NA,1,0,0,0,0,0,1,50,0,0,0,0,0,6.3,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",207001,2,"Phongsali",207,"BounTai",20701,"Bountai","Phou thong","Amomum villosum","Cardamom",1,0,0,1,2,5000,0,0,5000,281250,0,0,281250,200,50,10000,450000,56.25,562500,"40",NA,30,30,NA,1,0,0,0,0,0,1,10000,0,0,0,0,0,562500,0,0,0,0,0,281250,0,0,281250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",207001,2,"Phongsali",207,"BounTai",20701,"Bountai","Phou thong","Protium serratum","Tree",1,0,1,0,2,250,0,250,0,62.5,0,62.5,0,50,10,500,2000,0.25,125,"180",NA,30,30,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",207001,2,"Phongsali",207,"BounTai",20701,"Bountai","Phou thong","Piper sarmentosum","Vine",1,0,1,0,2,240,0,240,0,30,0,30,0,60,8,480,1000,0.125,60,"20",NA,50,50,NA,0,1,0,0,0,0,1,0,480,0,0,0,0,0,60,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",207001,2,"Phongsali",207,"BounTai",20701,"Bountai","Phou thong","Alpinia galanga","Herb (bulbiferous)",0,0,1,0,1,0,0,100,0,0,0,0,0,20,5,100,0,0,0,"120",NA,50,50,NA,1,1,1,0,0,0,3,33.3,33.3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",207001,2,"Phongsali",207,"BounTai",20701,"Bountai","Phou thong","Sinarundinaria microphylla","Bamboo",1,1,1,0,3,166.7,166.7,166.7,0,104.1875,104.1875,104.1875,0,100,5,500,5000,0.625,312.5,"60",NA,35,35,NA,1,0,0,0,0,0,1,500,0,0,0,0,0,312.5,0,0,0,0,0,104.1666667,104.1666667,104.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",207001,2,"Phongsali",207,"BounTai",20701,"Bountai","Phou thong","Dendrobium capillipes","Orchid",1,0,0,1,2,25,0,0,25,531.25,0,0,531.25,10,5,50,170000,21.25,1062.5,"180",NA,90,90,NA,1,0,0,0,0,1,2,25,0,0,0,0,25,531.3,0,0,0,0,531.3,265.65,0,0,265.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.65,0,0,265.65
"12",207001,2,"Phongsali",207,"BounTai",20701,"Bountai","Phou thong","Asparagus acerosus","Shrub/Herb",1,0,1,0,2,100,0,100,0,125,0,125,0,20,10,200,10000,1.25,250,"120",NA,90,90,NA,1,1,0,0,0,0,2,100,100,0,0,0,0,125,125,0,0,0,0,62.5,0,62.5,0,62.5,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
