PCODE,Pname,DCODE,Dname,KCODE,Kname,Vil_Code,Vil_Name
2,Phongsali,207,BounTai,20701,Bountai,207001,Phou thong
2,Phongsali,207,BounTai,20701,Bountai,207002,Boun tay
2,Phongsali,207,BounTai,20701,Bountai,207003,Na wy
2,Phongsali,207,BounTai,20701,Bountai,207008,Sing say
2,Phongsali,207,BounTai,20701,Bountai,207025,Houai khong
2,Phongsali,207,BounTai,20701,Bountai,207026,Narm  larn noi
2,Phongsali,207,BounTai,20701,Bountai,207056,Phier lake
6,Louangphabang,603,Nan,60305,Thali,603018,B. fayyouak
6,Louangphabang,603,Nan,60305,Thali,603021,B. Phaneep
6,Louangphabang,605,Nambak,60502,Nagnang,605034,B. Pungjong
6,Louangphabang,605,Nambak,60502,Nagnang,605045,B. Houaykong
6,Louangphabang,605,Nambak,60502,Nagnang,605046,B. Vienghinsung
6,Louangphabang,605,Nambak,60502,Nagnang,605047,B. Namay
6,Louangphabang,605,Nambak,60502,Nagnang,605053,B. Houayheedloum
6,Louangphabang,605,Nambak,60502,Nagnang,605054,B. Nagnangnuea
6,Louangphabang,605,Nambak,60502,Nagnang,605056,B. Houayhar
6,Louangphabang,605,Nambak,60502,Nagnang,605057,B. Nagnangtay
6,Louangphabang,605,Nambak,60502,Nagnang,605058,B. Houayyan
6,Louangphabang,605,Nambak,60503,Xongcha,605040,B. Yalo
6,Louangphabang,605,Nambak,60503,Xongcha,605066,B. Markphouk
6,Louangphabang,605,Nambak,60503,Xongcha,605067,B. Xongjar
6,Louangphabang,605,Nambak,60503,Xongcha,605092,B. Phouker
6,Louangphabang,605,Nambak,60503,Xongcha,605093,B. Longjork
6,Louangphabang,605,Nambak,60503,Xongcha,605095,B. Kiewjaly
6,Louangphabang,605,Nambak,60503,Xongcha,605165,Lak 50
6,Louangphabang,605,Nambak,60507,Namdouan,605002,B. Phathong
6,Louangphabang,605,Nambak,60507,Namdouan,605012,B. Lankang
6,Louangphabang,605,Nambak,60507,Namdouan,605015,Bouam
6,Louangphabang,605,Nambak,60507,Namdouan,605021,B. kingkang
6,Louangphabang,605,Nambak,60507,Namdouan,605023,B. Parkkan
6,Louangphabang,605,Nambak,60507,Namdouan,605024,B. Kanloum
6,Louangphabang,605,Nambak,60507,Namdouan,605025,B. Kantheung
6,Louangphabang,605,Nambak,60507,Namdouan,605031,B. Douantay
6,Louangphabang,608,Phonxai,60802,Phonthong,608045,B. Viengjaleun
6,Louangphabang,608,Phonxai,60805,Sopchia,608012,B. Houaydong
6,Louangphabang,608,Phonxai,60805,Sopchia,608061,B. Houaychia
6,Louangphabang,608,Phonxai,60805,Sopchia,608064,B. Houaysiboua
6,Louangphabang,608,Phonxai,60805,Sopchia,608074,B. Sobchia
6,Louangphabang,608,Phonxai,60805,Sopchia,608075,B. Houameung
6,Louangphabang,608,Phonxai,60805,Sopchia,608092,B. Donxai
6,Louangphabang,608,Phonxai,60805,Sopchia,608105,B. Tardthong
6,Louangphabang,608,Phonxai,60807,Houaykhing,608053,B. Houaykhing
6,Louangphabang,608,Phonxai,60808,Donkham,608035,Done ngeun
6,Louangphabang,608,Phonxai,60808,Donkham,608037,B. Hadchong
6,Louangphabang,608,Phonxai,60808,Donkham,608039,B. Sobhout
6,Louangphabang,608,Phonxai,60808,Donkham,608040,B. Donekham
6,Louangphabang,608,Phonxai,60808,Donkham,608094,B. Pakvang
6,Louangphabang,608,Phonxai,60809,Chomchieng,608011,B. Naphieng
6,Louangphabang,608,Phonxai,60809,Chomchieng,608013,B. Chomchieng
6,Louangphabang,608,Phonxai,60809,Chomchieng,608038,B. Houaypha
6,Louangphabang,608,Phonxai,60809,Chomchieng,608063,B. Houayloungsoung
6,Louangphabang,608,Phonxai,60809,Chomchieng,608091,B. Heuadoeui
6,Louangphabang,608,Phonxai,60810,Neunsoung,608100,B. Kalongkong
6,Louangphabang,609,Chomphet,60901,Longnamtan,609023,B. Xam or
6,Louangphabang,609,Chomphet,60901,Longnamtan,609024,B. Na
6,Louangphabang,609,Chomphet,60901,Longnamtan,609032,B. Som
6,Louangphabang,609,Chomphet,60901,Longnamtan,609042,B. Phoulouangtai
6,Louangphabang,609,Chomphet,60901,Longnamtan,609093,B. Houayxaeng
6,Louangphabang,609,Chomphet,60902,Longnamlung,609006,B. Houayhak
6,Louangphabang,609,Chomphet,60902,Longnamlung,609010,B. Na ang
6,Louangphabang,609,Chomphet,60902,Longnamlung,609012,Pak houay khor
6,Louangphabang,609,Chomphet,60902,Longnamlung,609060,B. Pakleung
6,Louangphabang,609,Chomphet,60902,Longnamlung,609061,B. Nongphu
6,Louangphabang,609,Chomphet,60902,Longnamlung,609064,B. Donexai
6,Louangphabang,609,Chomphet,60902,Longnamlung,609066,B. Saleuam
