Vil_Code,Vil_Name,Taxon,all,forest,riparian,bamboo,bushfallow,uplandfield,others,Contrl,perc_forest,perc_ripar,perc_bamb,perc_bushf,perc_uplf,perc_oth
612999,B. kuexsang,Bamboo,13500,1,3,0,3,0,0,7,14.2857142857143,42.8571428571429,0,42.8571428571429,0,0
612999,B. kuexsang,Legume,5400,0,0,0,1,0,0,1,0,0,0,100,0,0
612999,B. kuexsang,Herbs,3672,2,1,0,3,0,0,6,33.3333333333333,16.6666666666667,0,50,0,0
612999,B. kuexsang,Peas,3402,4,0,0,0,0,0,4,100,0,0,0,0,0
612999,B. kuexsang,Palm,2970,1,0,0,1,0,0,2,50,0,0,50,0,0
612999,B. kuexsang,Tree/Shrub,2916,3,0,0,3,0,0,6,50,0,0,50,0,0
612999,B. kuexsang,Trees,1836,4,0,0,2,0,0,6,66.6666666666667,0,0,33.3333333333333,0,0
612999,B. kuexsang,Shrubs,1647,0,0,0,3,0,0,3,0,0,0,100,0,0
612999,B. kuexsang,Grass,1620,0,0,0,1,0,0,1,0,0,0,100,0,0
612999,B. kuexsang,Mushroom/Funghi,1566,0,0,0,7,0,0,7,0,0,0,100,0,0
612999,B. kuexsang,Orchids,1550,4,0,0,0,0,0,4,100,0,0,0,0,0
612999,B. kuexsang,Vines,1296,2,2,0,1,0,0,5,40,40,0,20,0,0
612999,B. kuexsang,,1134,0,0,0,5,0,0,5,0,0,0,100,0,0
612999,B. kuexsang,Hornet,374,4,0,0,0,0,0,4,100,0,0,0,0,0
612999,B. kuexsang,Nettles,324,0,1,0,0,0,0,1,0,100,0,0,0,0
612999,B. kuexsang,Bees,144,1,0,0,0,0,0,1,100,0,0,0,0,0
612999,B. kuexsang,Cardamom,54,1,0,0,0,0,0,1,100,0,0,0,0,0
612999,B. kuexsang,Worms,54,0,1,0,0,0,0,1,0,100,0,0,0,0
612998,B. Houngsy,Tree/Shrub,6097,9,0,0,4,0,0,13,69.2307692307692,0,0,30.7692307692308,0,0
612998,B. Houngsy,Trees,1807,8,0,0,4,0,0,12,66.6666666666667,0,0,33.3333333333333,0,0
612998,B. Houngsy,Bamboo,1430,0,0,7,0,0,0,7,0,0,100,0,0,0
612998,B. Houngsy,Mushroom/Funghi,1365,1,0,0,8,0,0,9,11.1111111111111,0,0,88.8888888888889,0,0
612998,B. Houngsy,Grass,1300,0,0,0,1,0,0,1,0,0,0,100,0,0
612998,B. Houngsy,Palm,1157,3,0,0,0,0,0,3,100,0,0,0,0,0
612998,B. Houngsy,Shrubs,845,2,0,0,0,0,0,2,100,0,0,0,0,0
612998,B. Houngsy,Peas,650,0,0,0,1,0,0,1,0,0,0,100,0,0
612998,B. Houngsy,Herbs,455,3,0,0,4,0,0,7,42.8571428571429,0,0,57.1428571428571,0,0
612998,B. Houngsy,Cardamom,429,2,0,0,1,0,0,3,66.6666666666667,0,0,33.3333333333333,0,0
612998,B. Houngsy,Hornet,429,3,0,0,0,0,0,3,100,0,0,0,0,0
612998,B. Houngsy,Vines,260,3,0,0,1,0,0,4,75,0,0,25,0,0
612998,B. Houngsy,Orchids,231,4,0,0,1,0,0,5,80,0,0,20,0,0
612998,B. Houngsy,Legume,195,1,0,0,0,0,0,1,100,0,0,0,0,0
612998,B. Houngsy,Rattan,130,1,0,0,0,0,0,1,100,0,0,0,0,0
612998,B. Houngsy,Rose,130,0,0,0,1,0,0,1,0,0,0,100,0,0
612998,B. Houngsy,Worms,130,0,0,1,0,0,0,1,0,0,100,0,0,0
612998,B. Houngsy,,78,1,0,0,1,0,0,2,50,0,0,50,0,0
612998,B. Houngsy,Bees,52,0,0,0,2,0,0,2,0,0,0,100,0,0
612031,Khampom,Bamboo,20300,0,1,0,7,0,0,8,0,12.5,0,87.5,0,0
612031,Khampom,Palm,6090,0,0,0,2,0,0,2,0,0,0,100,0,0
612031,Khampom,Grass,2900,0,0,0,1,0,0,1,0,0,0,100,0,0
612031,Khampom,Peas,2900,1,0,0,0,0,0,1,100,0,0,0,0,0
612031,Khampom,Tree/Shrub,1740,0,1,0,0,0,0,1,0,100,0,0,0,0
612031,Khampom,Herbs,1508,1,1,0,1,0,0,3,33.3333333333333,33.3333333333333,0,33.3333333333333,0,0
612031,Khampom,Nettles,1160,0,0,0,0,0,1,1,0,0,0,0,0,100
612031,Khampom,Vines,638,0,2,0,1,0,0,3,0,66.6666666666667,0,33.3333333333333,0,0
612031,Khampom,Mushroom/Funghi,580,1,0,0,1,2,2,6,16.6666666666667,0,0,16.6666666666667,33.3333333333333,33.3333333333333
612031,Khampom,Legume,232,0,0,0,1,0,0,1,0,0,0,100,0,0
612031,Khampom,Cardamom,116,1,0,0,0,0,0,1,100,0,0,0,0,0
612031,Khampom,Orchids,116,0,1,0,0,0,0,1,0,100,0,0,0,0
612031,Khampom,Rose,58,0,1,0,0,0,0,1,0,100,0,0,0,0
612031,Khampom,Trees,58,1,0,0,0,0,0,1,100,0,0,0,0,0
612031,Khampom,Shrubs,29,0,0,0,1,0,0,1,0,0,0,100,0,0
612029,B. Sammeun,Bamboo,3255,7,0,0,0,0,0,7,100,0,0,0,0,0
612029,B. Sammeun,Grass,525,0,0,0,1,0,0,1,0,0,0,100,0,0
612029,B. Sammeun,Shrubs,420,0,0,0,1,0,0,1,0,0,0,100,0,0
612029,B. Sammeun,Cardamom,300,0,0,0,1,0,0,1,0,0,0,100,0,0
612029,B. Sammeun,Tree/Shrub,268,0,0,0,4,0,0,4,0,0,0,100,0,0
612029,B. Sammeun,Trees,210,0,0,0,3,0,0,3,0,0,0,100,0,0
612029,B. Sammeun,Orchids,200,0,0,0,2,0,0,2,0,0,0,100,0,0
612029,B. Sammeun,Worms,105,1,0,0,0,0,0,1,100,0,0,0,0,0
612029,B. Sammeun,Bees,42,0,0,0,1,0,0,1,0,0,0,100,0,0
