Vil_Code,PCODE,Pname,DCODE,Dname,Vil_Name,Scientific_Name_Cleaned,Qty_All
207001,2,Phongsali,207,BounTai,Phou thong,Amomum villosum Lour.,10000
207001,2,Phongsali,207,BounTai,Phou thong,Bischofia javanica Blume,5000
207001,2,Phongsali,207,BounTai,Phou thong,Phyllanthus emblica L.,1500
207001,2,Phongsali,207,BounTai,Phou thong,Thysanolaena latifolia (Roxb. ex Hornem.) Honda,1200
207001,2,Phongsali,207,BounTai,Phou thong,Indosasa sinica C.D.Chu & C.S.Chao,1000
207001,2,Phongsali,207,BounTai,Phou thong,Dendrocalamus bamiltonii,1000
207001,2,Phongsali,207,BounTai,Phou thong,Castanopsis sp.,1000
207001,2,Phongsali,207,BounTai,Phou thong,Protium serratum (Wallich & Colebr.) Engler,500
207001,2,Phongsali,207,BounTai,Phou thong,Sirundinaria sp.,500
207001,2,Phongsali,207,BounTai,Phou thong,Diplazium esculentum,500
207002,2,Phongsali,207,BounTai,Boun tay,Thysanolaena latifolia (Roxb. ex Hornem.) Honda,5500
207002,2,Phongsali,207,BounTai,Boun tay,Alpinia galanga (L.) Willd.,5000
207002,2,Phongsali,207,BounTai,Boun tay,,5000
207002,2,Phongsali,207,BounTai,Boun tay,Amomum villosum Lour.,4200
207002,2,Phongsali,207,BounTai,Boun tay,Phyllanthus emblica L.,1500
207002,2,Phongsali,207,BounTai,Boun tay,Castanopsis sp.,1000
207002,2,Phongsali,207,BounTai,Boun tay,Indosasa sinica C.D.Chu & C.S.Chao,1000
207002,2,Phongsali,207,BounTai,Boun tay,Dendrocalamus hamiltonii,1000
207002,2,Phongsali,207,BounTai,Boun tay,Sinarundinaria microphylla,500
207002,2,Phongsali,207,BounTai,Boun tay,Protium serratum (Wallich & Colebr.) Engler,500
207003,2,Phongsali,207,BounTai,Na wy,Calamus sp.,4500
207003,2,Phongsali,207,BounTai,Na wy,Thysanolaena latifolia (Roxb. ex Hornem.) Honda,3000
207003,2,Phongsali,207,BounTai,Na wy,Amomum villosum Lour.,2050
207003,2,Phongsali,207,BounTai,Na wy,Indosasa sindica,2000
207003,2,Phongsali,207,BounTai,Na wy,Sinarundinaria microphylla,2000
