districtCode,districName,provinceCode,provinceName,totPop,sexRatio
402,La,4,Oudomxay,15911,98.79
606,Ngoy,6,Luangprabang,40078,99.1
401,Xai,4,Oudomxay,67186,101.42
704,Viangxai,7,Huaphanh,35741,104.76
501,Houayxay,5,Bokeo,56195,98.64
405,Beng,4,Oudomxay,33387,97.58
404,Nga,4,Oudomxay,26795,99.18
406,Houn,4,Oudomxay,61929,100.95
807,Paklai,8,Xayabury,62943,104
104,Sisattanak,1,Vientiane Capital,69769,88.98
407,Pakbeng,4,Oudomxay,26613,94.82
608,Phonxai,6,Luangprabang,26935,99.45
902,Kham,9,Xiengkhuang,47669,101.01
1011,Xaisomboun,10,Vientiane,28236,112.67
905,Mokmai,9,Xiengkhuang,10358,99.35
806,Phiang,8,Xayabury,49682,102.62
1105,Khamkeut,11,Borikhamxay,64540,100.37
1003,Keo-Oudom,10,Vientiane,18629,105.19
105,Naxaythong,1,Vientiane Capital,58368,99.62
106,Xaithani,1,Vientiane Capital,150793,105.63
109,Pak-Ngum,1,Vientiane Capital,45041,102.02
1207,Nakay,12,Khammuane,20245,97.45
808,Kenthao,8,Xayabury,36852,102.65
1503,Dakchung,15,Sekong,18461,95.13
1206,Boualapha,12,Khammuane,25089,92.84
1208,Xebangfai,12,Khammuane,25504,95.87
1305,Xepon,13,Savannakhet,42877,98.84
1304,Phin,13,Savannakhet,50784,97.42
202,Mai,2,Phongsaly,23980,98.49
302,Sing,3,Luangnamtha,30790,99.08
207,Boun-Tai,2,Phongsaly,16678,100.31
1301,"""Kaysone Phomvihane""",13,Savannakhet,114588,96.92
206,Gnot-Ou,2,Phongsaly,27406,102.57
201,Phongsali,2,Phongsaly,25213,99.08
204,Samphan,2,Phongsaly,26834,99.96
205,Boun-Nua,2,Phongsaly,18942,107.4
303,Long,3,Luangnamtha,28705,99.04
403,Namo,4,Oudomxay,32761,97.28
203,Khoa,2,Phongsaly,27388,96.22
301,Luangnamtha,3,Luangnamtha,44366,100.58
610,Viangkham,6,Luangprabang,39373,99.52
702,Xiangkho,7,Huaphanh,26815,103.19
605,Nambak,6,Luangprabang,59550,98.85
708,Et,7,Huaphanh,26924,101.35
503,Meung,5,Bokeo,11196,106.91
304,Viangphoukha,3,Luangnamtha,18911,93.19
703,Viangthong,7,Huaphanh,25673,98.8
707,Sopbao,7,Huaphanh,26435,102.37
305,Nale,3,Luangnamtha,22320,90.83
504,Pha-Oudom,5,Bokeo,35029,94.23
1106,Viangthong,11,Borikhamxay,20523,105.37
502,Tonpheung,5,Bokeo,25177,98.97
803,Hongsa,8,Xayabury,26578,102.73
701,Xam-Nua,7,Huaphanh,52980,101.96
607,Pakxeng,6,Luangprabang,23771,96.5
705,Houamuang,7,Huaphanh,27100,99.96
906,Phoukout,9,Xiengkhuang,24492,104.49
604,Pak-Ou,6,Luangprabang,21818,99
505,Paktha,5,Bokeo,17666,101.39
706,Xam-Tai,7,Huaphanh,57009,100.72
609,Chomphet,6,Luangprabang,28327,100.5
601,Luangprabang,6,Luangprabang,79076,102.97
805,Xianghon,8,Xayabury,28236,99.94
804,Ngeun,8,Xayabury,15151,95.42
